dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag,Affiliated_base_number
B02871,2021-06-01 00:45:25,2021-06-01 01:11:51,170,62,N,B02871
B02510,2021-06-01 00:15:42,2021-06-01 00:32:25,138,145,N,
B02510,2021-06-01 00:35:39,2021-06-01 00:40:01,145,193,N,
B02510,2021-06-01 00:46:37,2021-06-01 00:59:57,145,230,N,
B02510,2021-06-01 00:33:44,2021-06-01 01:07:20,19,91,N,
B02510,2021-06-01 00:10:29,2021-06-01 00:25:29,72,17,N,
B02510,2021-06-01 00:28:13,2021-06-01 00:50:10,17,198,N,
B02876,2021-06-01 00:45:49,2021-06-01 00:54:21,259,265,N,B02876
B02867,2021-06-01 00:09:09,2021-06-01 00:23:37,39,72,N,B02867
B02867,2021-06-01 00:30:17,2021-06-01 00:35:45,72,35,N,B02867
